model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
openrouter/google/gemma-2-9b-it,0,1,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,0,2,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,0,3,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,10,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,10,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,10,3,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,11,1,nlsy97,YES,60.0,False,6
openrouter/google/gemma-2-9b-it,11,2,nlsy97,YES,60.0,False,6
openrouter/google/gemma-2-9b-it,11,3,nlsy97,YES,60.0,False,4
openrouter/google/gemma-2-9b-it,12,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,12,2,nlsy97,YES,75.0,False,6
openrouter/google/gemma-2-9b-it,12,3,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,13,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,13,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,13,3,nlsy97,NO,60.0,False,5
openrouter/google/gemma-2-9b-it,14,1,nlsy97,NO,65.0,True,6
openrouter/google/gemma-2-9b-it,14,2,nlsy97,NO,75.0,True,5
openrouter/google/gemma-2-9b-it,14,3,nlsy97,NO,75.0,True,5
openrouter/google/gemma-2-9b-it,15,1,nlsy97,NO,65.0,False,5
openrouter/google/gemma-2-9b-it,15,2,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,15,3,nlsy97,NO,55.0,False,6
openrouter/google/gemma-2-9b-it,16,1,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,16,2,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,16,3,nlsy97,NO,75.0,False,4
openrouter/google/gemma-2-9b-it,17,1,nlsy97,YES,65.0,False,5
openrouter/google/gemma-2-9b-it,17,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,17,3,nlsy97,YES,65.0,False,4
openrouter/google/gemma-2-9b-it,18,1,nlsy97,NO,60.0,False,5
openrouter/google/gemma-2-9b-it,18,2,nlsy97,NO,65.0,False,5
openrouter/google/gemma-2-9b-it,18,3,nlsy97,NO,55.0,False,5
openrouter/google/gemma-2-9b-it,19,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,19,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,19,3,nlsy97,YES,70.0,False,6
openrouter/google/gemma-2-9b-it,1,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,1,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,1,3,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,20,1,nlsy97,YES,60.0,True,6
openrouter/google/gemma-2-9b-it,20,2,nlsy97,NO,75.0,True,5
openrouter/google/gemma-2-9b-it,20,3,nlsy97,NO,75.0,True,6
openrouter/google/gemma-2-9b-it,21,1,nlsy97,YES,65.0,True,5
openrouter/google/gemma-2-9b-it,21,2,nlsy97,NO,60.0,True,5
openrouter/google/gemma-2-9b-it,21,3,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,22,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,22,2,nlsy97,NO,60.0,False,5
openrouter/google/gemma-2-9b-it,22,3,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,23,1,nlsy97,YES,65.0,True,5
openrouter/google/gemma-2-9b-it,23,2,nlsy97,YES,65.0,True,5
openrouter/google/gemma-2-9b-it,23,3,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,24,1,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,24,2,nlsy97,YES,60.0,False,5
openrouter/google/gemma-2-9b-it,24,3,nlsy97,NO,75.0,False,6
openrouter/google/gemma-2-9b-it,25,1,nlsy97,NO,75.0,True,6
openrouter/google/gemma-2-9b-it,25,2,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,25,3,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,26,1,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,26,2,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,26,3,nlsy97,YES,65.0,False,6
openrouter/google/gemma-2-9b-it,27,1,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,27,2,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,27,3,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,28,1,nlsy97,YES,75.0,True,6
openrouter/google/gemma-2-9b-it,28,2,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,28,3,nlsy97,YES,75.0,True,6
openrouter/google/gemma-2-9b-it,29,1,nlsy97,NO,65.0,False,5
openrouter/google/gemma-2-9b-it,29,2,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,29,3,nlsy97,NO,75.0,False,6
openrouter/google/gemma-2-9b-it,2,1,nlsy97,NO,65.0,True,6
openrouter/google/gemma-2-9b-it,2,2,nlsy97,NO,55.0,True,6
openrouter/google/gemma-2-9b-it,2,3,nlsy97,NO,55.0,True,5
openrouter/google/gemma-2-9b-it,30,1,nlsy97,YES,65.0,True,5
openrouter/google/gemma-2-9b-it,30,2,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,30,3,nlsy97,NO,75.0,True,6
openrouter/google/gemma-2-9b-it,31,1,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,31,2,nlsy97,NO,60.0,True,6
openrouter/google/gemma-2-9b-it,31,3,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,32,1,nlsy97,NO,75.0,False,5
openrouter/google/gemma-2-9b-it,32,2,nlsy97,NO,60.0,False,4
openrouter/google/gemma-2-9b-it,32,3,nlsy97,NO,60.0,False,6
openrouter/google/gemma-2-9b-it,33,1,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,33,2,nlsy97,YES,65.0,False,5
openrouter/google/gemma-2-9b-it,33,3,nlsy97,NO,65.0,False,6
openrouter/google/gemma-2-9b-it,34,1,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,34,2,nlsy97,YES,65.0,True,6
openrouter/google/gemma-2-9b-it,34,3,nlsy97,YES,75.0,True,6
openrouter/google/gemma-2-9b-it,35,1,nlsy97,NO,60.0,True,5
